OGF_ID,MUNICIPAL_TYPE,MUNICIPAL_TYPE_FR,MUNICIPAL_NAME,MUNICIPAL_NAME_FR,MUNID,MAH_CODE,MUNICIPAL_AREA_EXTENT_TYPE,MUNICIPAL_AREA_EXTENT_TYPE_FR,ASSESSMENT_CODE,MUNICIPAL_NAME_PREFIX,MUNICIPAL_NAME_PREFIX_FR,MUNICIPAL_NAME_SHORTFORM,MUNICIPAL_NAME_SHORTFORM_FR,UPPER_TIER_ASSESSMENT_CODE,UPPER_TIER_MUNICIPALITY,UPPER_TIER_MUNICIPALITY_FR,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
319585641,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF MCMURRICH/MONTEITH,CANTON DE MCMURRICH / MONTEITH,49012,86614,Mainland,Terre ferme,4912,TOWNSHIP OF,CANTON DE,MCMURRICH/MONTEITH,MCMURRICH / MONTEITH,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,161,0,0
319585788,Single Tier Municipality,Municipalités à palier unique,CITY OF DRYDEN,CITÉ DE DRYDEN,60025,82101,Mainland,Terre ferme,6026,CITY OF,CITÉ DE,DRYDEN,DRYDEN,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,177,0,0
319586084,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF GRIMSBY,VILLE DE GRIMSBY,26065,18402,Mainland,Terre ferme,2615,TOWN OF,VILLE DE,GRIMSBY,GRIMSBY,,REGIONAL MUNICIPALITY OF NIAGARA,MUNICIPALITÉ RÉGIONALE DE NIAGARA,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,193,0,0
319585960,Single Tier Municipality,Municipalités à palier unique,MUNICIPALITY OF CHARLTON AND DACK,MUNICIPALITÉ DE CHARLTON AND DACK,54047,90620,Mainland,Terre ferme,5447,MUNICIPALITY OF,MUNICIPALITÉ DE,CHARLTON AND DACK,CHARLTON AND DACK,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,209,0,0
319586116,Single Tier Municipality,Municipalités à palier unique,TOWN OF BLIND RIVER,VILLE DE BLIND RIVER,57038,80401,Water,Eau,5738,TOWN OF,VILLE DE,BLIND RIVER,BLIND RIVER,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,225,0,0
319585934,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF GRAVENHURST,VILLE DE GRAVENHURST,44002,33402,Islands,Îles,4402,TOWN OF,VILLE DE,GRAVENHURST,GRAVENHURST,,DISTRICT MUNICIPALITY OF MUSKOKA,DISTRICT MUNICIPALITÉ DE MUSKOKA,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,241,0,0
319586219,Single Tier Municipality,Municipalités à palier unique,TOWN OF LATCHFORD,VILLE DE LATCHFORD,54006,90406,Mainland,Terre ferme,5406,TOWN OF,VILLE DE,LATCHFORD,LATCHFORD,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,257,0,0
319586142,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF PLUMMER ADDITIONAL,CANTON DE PLUMMER ADDITIONAL,57019,80609,Islands,Îles,5719,TOWNSHIP OF,CANTON DE,PLUMMER ADDITIONAL,PLUMMER ADDITIONAL,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,273,0,0
319585864,Single Tier Municipality,Municipalités à palier unique,VILLAGE OF HILTON BEACH,VILLAGE DE HILTON BEACH,57006,80501,Water,Eau,5706,VILLAGE OF,VILLAGE DE,HILTON BEACH,HILTON BEACH,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,289,0,0
319585929,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF FRONTENAC ISLANDS,CANTON DE FRONTENAC ISLANDS,10002,46617,Mainland,Terre ferme,1001,TOWNSHIP OF,CANTON DE,FRONTENAC ISLANDS,FRONTENAC ISLANDS,,COUNTY OF FRONTENAC,COMTÉ DE FRONTENAC,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,305,0,0
319585869,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF THE NORTH SHORE,CANTON DE THE NORTH SHORE,57040,80616,Mainland,Terre ferme,5740,TOWNSHIP OF,CANTON DE,THE NORTH SHORE,THE NORTH SHORE,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,321,0,0
319585785,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF FARADAY,CANTON DE FARADAY,12058,51605,Mainland,Terre ferme,1258,TOWNSHIP OF,CANTON DE,FARADAY,FARADAY,,COUNTY OF HASTINGS,COMTÉ DE HASTINGS,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,337,0,0
319585707,Single Tier Municipality,Municipalités à palier unique,TOWN OF ENGLEHART,VILLE D'ENGLEHART,54052,90403,Mainland,Terre ferme,5452,TOWN OF,VILLE DE,ENGLEHART,ENGLEHART,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,353,0,0
319586236,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF ESSA,CANTON D'ESSA,43021,70602,Mainland,Terre ferme,4321,TOWNSHIP OF,CANTON DE,ESSA,ESSA,,COUNTY OF SIMCOE,COMTÉ DE SIMCOE,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,369,0,0
319585995,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF CASEY,CANTON DE CASEY,54029,90604,Mainland,Terre ferme,5429,TOWNSHIP OF,CANTON DE,CASEY,CASEY,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,385,0,0
319586186,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF ST. CLAIR,CANTON DE ST. CLAIR,38002,54614,Water,Eau,3805,TOWNSHIP OF,CANTON DE,ST. CLAIR,ST. CLAIR,,COUNTY OF LAMBTON,COMTÉ DE LAMBTON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,401,0,0
319586180,Lower Tier Municipality,Municipalités de palier inférieur,MUNICIPALITY OF DUTTON/DUNWICH,MUNICIPALITÉ DE DUTTON / DUNWICH,34028,44611,Water,Eau,3429,MUNICIPALITY OF,MUNICIPALITÉ DE,DUTTON/DUNWICH,DUTTON / DUNWICH,,COUNTY OF ELGIN,COMTÉ D'ELGIN,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,417,0,0
319585839,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF SOUTH FRONTENAC,CANTON DE SOUTH FRONTENAC,10013,46619,Mainland,Terre ferme,1029,TOWNSHIP OF,CANTON DE,SOUTH FRONTENAC,SOUTH FRONTENAC,,COUNTY OF FRONTENAC,COMTÉ DE FRONTENAC,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,433,0,0
319586038,Lower Tier Municipality,Municipalités de palier inférieur,MUNICIPALITY OF THAMES CENTRE,MUNICIPALITÉ DE THAMES CENTRE,39025,59622,Mainland,Terre ferme,3926,MUNICIPALITY OF,MUNICIPALITÉ DE,THAMES CENTRE,THAMES CENTRE,,COUNTY OF MIDDLESEX,COMTÉ DE MIDDLESEX,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,449,0,0
319585813,Single Tier Municipality,Municipalités à palier unique,MUNICIPALITY OF WEST NIPISSING,MUNICIPALITÉ DE WEST NIPISSING,48050,85406,Mainland,Terre ferme,4852,MUNICIPALITY OF,MUNICIPALITÉ DE,WEST NIPISSING,WEST NIPISSING,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,465,0,0
319586097,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF PAPINEAU-CAMERON,CANTON DE PAPINEAU-CAMERON,48017,85612,Water,Eau,4816,TOWNSHIP OF,CANTON DE,PAPINEAU-CAMERON,PAPINEAU-CAMERON,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,481,0,0
319585985,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF DEEP RIVER,VILLE DE DEEP RIVER,47096,69402,Islands,Îles,4796,TOWN OF,VILLE DE,DEEP RIVER,DEEP RIVER,,COUNTY OF RENFREW,COMTÉ DE RENFREW,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,497,0,0
319585825,Single Tier Municipality,Municipalités à palier unique,MUNICIPALITY OF GORDON / BARRIE ISLAND,MUNICIPALITÉ DE GORDON / BARRIE ISLAND,51024,83607,Water,Eau,5124,MUNICIPALITY OF,MUNICIPALITÉ DE,GORDON / BARRIE ISLAND,GORDON / BARRIE ISLAND,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,513,0,0
319585858,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF MCKELLAR,CANTON DE MCKELLAR,49028,86613,Mainland,Terre ferme,4928,TOWNSHIP OF,CANTON DE,MCKELLAR,MCKELLAR,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,529,0,0
319586156,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF ALNWICK/HALDIMAND,CANTON D'ALNWICK / HALDIMAND,14015,61616,Mainland,Terre ferme,1450,TOWNSHIP OF,CANTON DE,ALNWICK/HALDIMAND,ALNWICK / HALDIMAND,,COUNTY OF NORTHUMBERLAND,COMTÉ DE NORTHUMBERLAND,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,545,0,0
319586244,Single Tier Municipality,Municipalités à palier unique,MUNICIPALITY OF MATTAWAN,MUNICIPALITÉ DE MATTAWAN,48019,85608,Mainland,Terre ferme,4819,MUNICIPALITY OF,MUNICIPALITÉ DE,MATTAWAN,MATTAWAN,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,561,0,0
319586034,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF OAKVILLE,VILLE D'OAKVILLE,24001,14403,Mainland,Terre ferme,2401,TOWN OF,VILLE DE,OAKVILLE,OAKVILLE,,REGIONAL MUNICIPALITY OF HALTON,REGIONAL MUNICIPALITÉ DE HALTON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,577,0,0
319585807,Lower Tier Municipality,Municipalités de palier inférieur,MUNICIPALITY OF MEAFORD,MUNICIPALITÉ DE MEAFORD,42047,47406,Islands,Îles,4210,MUNICIPALITY OF,MUNICIPALITÉ DE,MEAFORD,MEAFORD,,COUNTY OF GREY,COMTÉ DE GREY,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,593,0,0
319585710,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF JOCELYN,CANTON DE JOCELYN,57001,80604,Islands,Îles,5701,TOWNSHIP OF,CANTON DE,JOCELYN,JOCELYN,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,609,0,0
319585993,Single Tier Municipality,Municipalités à palier unique,COUNTY OF PRINCE EDWARD,CITÉ DE PRINCE EDWARD COUNTY,13002,68101,Water,Eau,1350,COUNTY OF,COMPTÉ DE,PRINCE EDWARD,PRINCE EDWARD COUNTY,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,625,0,0
319585933,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF DESERONTO,VILLE DE DESERONTO,12002,51401,Islands,Îles,1202,TOWN OF,VILLE DE,DESERONTO,DESERONTO,,COUNTY OF HASTINGS,COMTÉ DE HASTINGS,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,641,0,0
319585986,Single Tier Municipality,Municipalités à palier unique,CITY OF BELLEVILLE,CITÉ DE BELLEVILLE,12005,51103,Islands,Îles,1208,CITY OF,CITÉ DE,BELLEVILLE,BELLEVILLE,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,657,0,0
319586198,Single Tier Municipality,Municipalités à palier unique,TOWN OF MARATHON,VILLE DE MARATHON,58059,89403,Mainland,Terre ferme,5859,TOWN OF,VILLE DE,MARATHON,MARATHON,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,673,0,0
319586267,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF ASSIGINACK,CANTON D'ASSIGINACK,51011,83601,Islands,Îles,5111,TOWNSHIP OF,CANTON DE,ASSIGINACK,ASSIGINACK,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,689,0,0
319585817,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF BILLINGS,CANTON DE BILLINGS,51021,83603,Islands,Îles,5121,TOWNSHIP OF,CANTON DE,BILLINGS,BILLINGS,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,705,0,0
319586145,Lower Tier Municipality,Municipalités de palier inférieur,MUNICIPALITY OF SOUTH BRUCE,MUNICIPALITÉ DE SOUTH BRUCE,41004,41626,Mainland,Terre ferme,4105,MUNICIPALITY OF,MUNICIPALITÉ DE,SOUTH BRUCE,SOUTH BRUCE,,COUNTY OF BRUCE,COMTÉ DE BRUCE,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,721,0,0
319586085,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF FRONT OF YONGE,CANTON DE FRONT OF YONGE,7017,56615,Mainland,Terre ferme,806,TOWNSHIP OF,CANTON DE,FRONT OF YONGE,FRONT OF YONGE,,UNITED COUNTIES OF LEEDS AND GRENVILLE,COMTÉS UNIS DE LEEDS AND GRENVILLE,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,737,0,0
319585632,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF HORTON,CANTON DE HORTON,47046,69613,Islands,Îles,4746,TOWNSHIP OF,CANTON DE,HORTON,HORTON,,COUNTY OF RENFREW,COMTÉ DE RENFREW,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,753,0,0
319586018,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF HILTON,CANTON DE HILTON,57004,80603,Mainland,Terre ferme,5704,TOWNSHIP OF,CANTON DE,HILTON,HILTON,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,769,0,0
319586273,Single Tier Municipality,Municipalités à palier unique,MUNICIPALITY OF SHUNIAH,MUNICIPALITÉ DE SHUNIAH,58028,89612,Mainland,Terre ferme,5828,MUNICIPALITY OF,MUNICIPALITÉ DE,SHUNIAH,SHUNIAH,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,785,0,0
319585833,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF ST. JOSEPH,CANTON DE ST. JOSEPH,57008,80611,Islands,Îles,5708,TOWNSHIP OF,CANTON DE,ST. JOSEPH,ST. JOSEPH,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,801,0,0
319585970,Single Tier Municipality,Municipalités à palier unique,CITY OF KINGSTON,CITÉ DE KINGSTON,10005,46102,Water,Eau,1011,CITY OF,CITÉ DE,KINGSTON,KINGSTON,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,817,0,0
319586138,Lower Tier Municipality,Municipalités de palier inférieur,CITY OF SARNIA,CITÉ DE SARNIA,38030,54102,Mainland,Terre ferme,3829,CITY OF,CITÉ DE,SARNIA,SARNIA,,COUNTY OF LAMBTON,COMTÉ DE LAMBTON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,833,0,0
319586159,Single Tier Municipality,Municipalités à palier unique,TOWN OF ST. MARYS,VILLE DE ST. MARYS,31016,65301,Mainland,Terre ferme,3116,TOWN OF,VILLE DE,ST. MARYS,ST. MARYS,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,849,0,0
319585856,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF GILLIES,CANTON DE GILLIES,58012,89603,Mainland,Terre ferme,5812,TOWNSHIP OF,CANTON DE,GILLIES,GILLIES,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,865,0,0
319586059,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF GREATER NAPANEE,VILLE DE GREATER NAPANEE,11010,57402,Islands,Îles,1121,TOWN OF,VILLE DE,GREATER NAPANEE,GREATER NAPANEE,,COUNTY OF LENNOX AND ADDINGTON,COMTÉ DE LENNOX AND ADDINGTON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,881,0,0
319585902,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF PRINCE,CANTON DE PRINCE,57066,80610,Islands,Îles,5766,TOWNSHIP OF,CANTON DE,PRINCE,PRINCE,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,897,0,0
319585873,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF RAMARA,CANTON DE RAMARA,43050,70622,Mainland,Terre ferme,4348,TOWNSHIP OF,CANTON DE,RAMARA,RAMARA,,COUNTY OF SIMCOE,COMTÉ DE SIMCOE,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,913,0,0
319586143,Lower Tier Municipality,Municipalités de palier inférieur,CITY OF ST. CATHARINES,CITÉ DE ST. CATHARINES,26053,18103,Water,Eau,2629,CITY OF,CITÉ DE,ST. CATHARINES,ST. CATHARINES,,REGIONAL MUNICIPALITY OF NIAGARA,MUNICIPALITÉ RÉGIONALE DE NIAGARA,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,929,0,0
319585702,Lower Tier Municipality,Municipalités de palier inférieur,MUNICIPALITY OF TRENT HILLS,MUNICIPALITÉ DE TRENT HILLS,14028,61408,Mainland,Terre ferme,1435,MUNICIPALITY OF,MUNICIPALITÉ DE,TRENT HILLS,TRENT HILLS,,COUNTY OF NORTHUMBERLAND,COMTÉ DE NORTHUMBERLAND,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,945,0,0
319586042,Lower Tier Municipality,Municipalités de palier inférieur,CITY OF OWEN SOUND,CITÉ D'OWEN SOUND,42059,47101,Mainland,Terre ferme,4259,CITY OF,CITÉ DE,OWEN SOUND,OWEN SOUND,,COUNTY OF GREY,COMTÉ DE GREY,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,961,0,0
319585969,Single Tier Municipality,Municipalités à palier unique,MUNICIPALITY OF NEEBING,MUNICIPALITÉ DE NEEBING,58001,89606,Mainland,Terre ferme,5801,MUNICIPALITY OF,MUNICIPALITÉ DE,NEEBING,NEEBING,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,977,0,0
319586088,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF LA VALLEE,CANTON DE LA VALLEE,59016,87608,Water,Eau,5916,TOWNSHIP OF,CANTON DE,LA VALLEE,LA VALLEE,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,993,0,0
319585736,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF ALFRED AND PLANTAGENET,CANTON D'ALFRED AND PLANTAGENET,2030,67612,Islands,Îles,231,TOWNSHIP OF,CANTON DE,ALFRED AND PLANTAGENET,ALFRED AND PLANTAGENET,,UNITED COUNTIES OF PRESCOTT AND RUSSELL,COMTÉS UNIS DE PRESCOTT AND RUSSELL,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1009,0,0
319585719,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF ASHFIELD-COLBORNE-WAWANOSH,CANTON D'ASHFIELD-COLBORNE-WAWANOSH,40030,52618,Mainland,Terre ferme,4070,TOWNSHIP OF,CANTON DE,ASHFIELD-COLBORNE-WAWANOSH,ASHFIELD-COLBORNE-WAWANOSH,,COUNTY OF HURON,COMTÉ DE HURON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1025,0,0
319585697,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF BROCK,CANTON DE BROCK,18039,10601,Mainland,Terre ferme,1839,TOWNSHIP OF,CANTON DE,BROCK,BROCK,,REGIONAL MUNICIPALITY OF DURHAM,REGIONAL MUNICIPALITÉ DE DURHAM,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1041,0,0
319586078,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF HAMILTON,CANTON DE HAMILTON,14019,61609,Water,Eau,1419,TOWNSHIP OF,CANTON DE,HAMILTON,HAMILTON,,COUNTY OF NORTHUMBERLAND,COMTÉ DE NORTHUMBERLAND,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1057,0,0
319585735,Lower Tier Municipality,Municipalités de palier inférieur,MUNICIPALITY OF HIGHLANDS EAST,MUNICIPALITÉ DE HIGHLANDS EAST,46002,49612,Mainland,Terre ferme,4601,MUNICIPALITY OF,MUNICIPALITÉ DE,HIGHLANDS EAST,HIGHLANDS EAST,,COUNTY OF HALIBURTON,COMTÉ DE HALIBURTON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1073,0,0
319585693,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF SIOUX NARROWS-NESTOR FALLS,CANTON DE SIOUX NARROWS-NESTOR FALLS,60008,82609,Water,Eau,6008,TOWNSHIP OF,CANTON DE,SIOUX NARROWS-NESTOR FALLS,SIOUX NARROWS-NESTOR FALLS,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1089,0,0
319586046,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF WHITCHURCH-STOUFFVILLE,VILLE DE WHITCHURCH-STOUFFVILLE,19044,27406,Mainland,Terre ferme,1944,TOWN OF,VILLE DE,WHITCHURCH-STOUFFVILLE,WHITCHURCH-STOUFFVILLE,,REGIONAL MUNICIPALITY OF YORK,MUNICIPALITÉ RÉGIONALE DE YORK,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1105,0,0
319585715,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF MATACHEWAN,CANTON DE MATACHEWAN,54056,90619,Mainland,Terre ferme,5456,TOWNSHIP OF,CANTON DE,MATACHEWAN,MATACHEWAN,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1121,0,0
319586016,Lower Tier Municipality,Municipalités de palier inférieur,"TOWNSHIP OF HEAD, CLARA AND MARIA","CANTON DE HEAD, CLARA AND MARIA",47098,69612,Water,Eau,4798,TOWNSHIP OF,CANTON DE,"HEAD, CLARA AND MARIA","HEAD, CLARA AND MARIA",,COUNTY OF RENFREW,COMTÉ DE RENFREW,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1137,0,0
319586243,Lower Tier Municipality,Municipalités de palier inférieur,TOWNSHIP OF ELIZABETHTOWN-KITLEY,CANTON D'ELIZABETHTOWN-KITLEY,7011,56622,Islands,Îles,801,TOWNSHIP OF,CANTON DE,ELIZABETHTOWN-KITLEY,ELIZABETHTOWN-KITLEY,,UNITED COUNTIES OF LEEDS AND GRENVILLE,COMTÉS UNIS DE LEEDS AND GRENVILLE,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1153,0,0
319586015,Single Tier Municipality,Municipalités à palier unique,TOWNSHIP OF SCHREIBER,CANTON DE SCHREIBER,58051,89611,Mainland,Terre ferme,5851,TOWNSHIP OF,CANTON DE,SCHREIBER,SCHREIBER,,,,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1169,0,0
319586104,Lower Tier Municipality,Municipalités de palier inférieur,TOWN OF GREATER NAPANEE,VILLE DE GREATER NAPANEE,11010,57402,Mainland,Terre ferme,1121,TOWN OF,VILLE DE,GREATER NAPANEE,GREATER NAPANEE,,COUNTY OF LENNOX AND ADDINGTON,COMTÉ DE LENNOX AND ADDINGTON,2024/02/15 10:26:33+00,2024/02/15 19:24:59+00,1185,0,0
